10,161884126142545,-0.48444724,0.07538223,0.31569958
11,161884126142545,-0.220412,-0.095607,-0.440134,0.865192,0.0
4,161883223755358,-1.4753913,-0.24527714,0.56885123
4,161883231179264,-1.4753913,-0.24527714,0.56885123
11,161884138250358,-0.220568,-0.095178,-0.440899,0.864811,0.0
10,161884138250358,-0.48548412,0.07920432,0.37275505
11,161884149061712,-0.220634,-0.094985,-0.440865,0.864832,0.0
4,161883238110775,-1.3989586,-0.26977822,0.5744439
10,161884149061712,-0.48548412,0.07920432,0.37275505
4,161883246932389,-1.3054816,-0.28682247,0.5544701
4,161883250623639,-1.3054816,-0.28682247,0.5544701
11,161884158791191,-0.220567,-0.094434,-0.441818,0.864423,0.0
10,161884158791191,-0.5679989,0.030560255,0.46518803
11,161884169535462,-0.220567,-0.094434,-0.441818,0.864423,0.0
10,161884169535462,-0.5794802,0.06493306,0.5449047
4,161883255922181,-1.2740563,-0.28495824,0.54435015
11,161884184915045,-0.220377,-0.094216,-0.442738,0.864025,0.0
10,161884184915045,-0.5582249,0.17749643,0.4730234
4,161883260922181,-1.2362394,-0.28442562,0.53289855
11,161884199174993,-0.219954,-0.094221,-0.442718,0.864142,0.0
10,161884199174993,-0.5547664,0.17082667,0.46938896
4,161883265407077,-1.2362394,-0.28442562,0.53289855
11,161884211798795,-0.219885,-0.094154,-0.442754,0.864149,0.0
10,161884211798795,-0.565171,0.10795331,0.34404755
4,161883267574629,-1.1906993,-0.28362668,0.520648
4,161883273302077,-1.1403656,-0.27510455,0.5113269
4,161883280214733,-0.89375687,-0.24048345,0.47351006
4,161883286463171,-0.89375687,-0.24048345,0.47351006
4,161883288380723,-0.89375687,-0.24048345,0.47351006
4,161883293380723,-0.8242484,-0.23915187,0.4577974
4,161883298192910,-0.8242484,-0.23915187,0.4577974
4,161883303138171,-0.67031765,-0.24314661,0.42663842
4,161883307187858,-0.54168695,-0.24554345,0.38935417
4,161883314005931,-0.54168695,-0.24554345,0.38935417
4,161883317386400,-0.54168695,-0.24554345,0.38935417
4,161883322296764,-0.4348942,-0.26871297,0.29374668
4,161883332597389,-0.4348942,-0.26871297,0.29374668
4,161883328457441,-0.4348942,-0.26871297,0.29374668
4,161883335985202,-0.4348942,-0.26871297,0.29374668
4,161883343766087,-0.41998053,-0.27830034,0.26738137
4,161883347412025,-0.39920786,-0.28043085,0.24421188
4,161883351518066,-0.37390783,-0.27776772,0.21891184
4,161883357444681,-0.34168357,-0.27563718,0.19014971
4,161883362289056,-0.29640985,-0.2692456,0.15899073
4,161883365910254,-0.17550232,-0.25033715,0.09827065
4,161883370861504,-0.17550232,-0.25033715,0.09827065
4,161883389931660,-7.9894834E-4,-0.21891184,0.037284255
4,161883376786087,0.076965354,-0.21678132,0.009853696
4,161883381327858,0.076965354,-0.21678132,0.009853696
4,161883394820358,0.076965354,-0.21678132,0.009853696
4,161883398286191,0.20479709,-0.1717739,0.0039947415
4,161883414053744,0.20479709,-0.1717739,0.0039947415
4,161883406767962,0.20479709,-0.1717739,0.0039947415
4,161883420110150,0.20479709,-0.1717739,0.0039947415
4,161883425538066,0.23409186,-0.14487597,-0.00479369
4,161883430996139,0.23409186,-0.14487597,-0.00479369
4,161883437065983,0.2197108,-0.11611383,-0.01784318
4,161883457957702,0.16644756,-0.08522116,-0.033289514
4,161883449816348,0.16644756,-0.08522116,-0.033289514
